"id","td_id","catalog_id","manufacturer_id","active","language","code","title","slug","meta_title","meta_keywords","meta_description","content","short_description","first_page","offer","stock","created_at","updated_at","type","search_code"
"3494523",,"0","577","active","ro","50925","Amortizor directie","amortizor-directie-50925","Amortizor directie","Amortizor directie","","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Lungime amortizor comprimat [mm]</th>
			<td>&nbsp;320.63</td>
		</tr>
		<tr>
			<th scope=""row"">Lungime amortizor deschis [mm]</th>
			<td>&nbsp;523.20</td>
		</tr>
		<tr>
			<th scope=""row"">Diametru tija [mm]</th>
			<td>&nbsp;12.7</td>
		</tr>
	</tbody>
</table>

<p>Import SUA</p>
","","no","no","in_supplier_stock","21/2/2019 18:24:40","21/2/2019 18:28:00","kit",""
"3494524",,"0","577","active","ro","12637204","Curea accesorii","curea-accesorii-12637204","Curea accesorii","Curea accesorii","","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Lungime [mm]</th>
			<td>&nbsp;2365</td>
		</tr>
		<tr>
			<th scope=""row"">Latime maxima [mm]</th>
			<td>&nbsp;21.36</td>
		</tr>
		<tr>
			<th scope=""row"">Nr. caneluri</th>
			<td>&nbsp;6</td>
		</tr>
	</tbody>
</table>

<p>Import SUA</p>
","","no","no","in_supplier_stock","21/2/2019 18:38:45","21/2/2019 18:38:45","kit",""
"3493834",,"0","36","active","ro","3318","Bujie ","bujie-3318","Bujie ","Bujie ","Bujie ","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Lungime filet [mm]</th>
			<td>&nbsp;19</td>
		</tr>
		<tr>
			<th scope=""row"">Filet exterior [mm]</th>
			<td>&nbsp;14</td>
		</tr>
		<tr>
			<th scope=""row"">Deschidere cheie [mm]</th>
			<td>&nbsp;16</td>
		</tr>
		<tr>
			<th scope=""row"">Numar poli</th>
			<td>&nbsp;1</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","","","","in_stock","14/12/2016 15:46:38","14/12/2016 18:54:31","kit",""
"3493835",,"0","36","active","ro","3322","Bujie","bujie-champion-3322","Bujie","Bujie","Bujie","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Lungime filet [mm]</th>
			<td>&nbsp;19</td>
		</tr>
		<tr>
			<th scope=""row"">&nbsp;Filet exterior [mm]</th>
			<td>&nbsp;14</td>
		</tr>
		<tr>
			<th scope=""row"">Deschidere cheie [mm]</th>
			<td>&nbsp;21</td>
		</tr>
		<tr>
			<th scope=""row"">Numar poli</th>
			<td>&nbsp;1</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","","no","no","in_stock","14/12/2016 17:25:21","14/12/2016 17:37:45","newOEM",""
"3493937",,"0","614","active","ro","3946","Simering cutie transfer","simering-cutie-transfer-3946","Simering cutie transfer","Simering cutie transfer","","<p>Inlocuieste TIMKEN &nbsp;3946; NATIONAL 3946</p>

<p>&nbsp;</p>

<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Material</th>
			<td>&nbsp;Nitril</td>
		</tr>
		<tr>
			<th scope=""row"">Diametru exterior [mm]</th>
			<td>&nbsp;70</td>
		</tr>
		<tr>
			<th scope=""row"">Latime [mm]</th>
			<td>&nbsp;13</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","","","","in_stock","30/1/2017 14:21:15","30/1/2017 14:22:04","kit",""
"3493546",,"1","3","active","ro","03.9901-5802.2","Lichid de frana DOT 4; 1L","lichid-de-frana-dot-4-1l-039901-58022","Lichid de frana DOT 4; 1L","lichid; frana; ate; dot;","Lichid de frana DOT 4; 1L","<p>Lichid de frana<strong> ATE DOT 4; 1L </strong></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<td>Tip</td>
			<td>DOT 4</td>
		</tr>
		<tr>
			<td>Cantitate</td>
			<td>1L</td>
		</tr>
		<tr>
			<td>Punct de fierbere uscata/umeda</td>
			<td>260/165&ordm;C</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","Lichid de frana DOT 4; 1L","no","no","in_supplier_stock","24/10/2016 16:03:38","11/2/2019 20:59:39","",""
"3493738",,"0","599","active","ro","D748","Placute frana","placute-frana-d748","Placute frana","placute frana","","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Parte montare</th>
			<td>&nbsp;fata</td>
		</tr>
		<tr>
			<th scope=""row"">Latime [mm]</th>
			<td>&nbsp;165.1</td>
		</tr>
		<tr>
			<th scope=""row"">Inaltime [mm]</th>
			<td>&nbsp;59.2</td>
		</tr>
		<tr>
			<th scope=""row"">Grosime [mm]</th>
			<td>&nbsp;16.4</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","","no","no","in_stock","21/11/2016 14:15:09","28/11/2016 15:27:51","kit",""
"3494119",,"1","162","active","ro","7657","EDGE TITANIUM FST™ 5W30;  1L","edge-titanium-fst-5w30-1l-7657","EDGE TITANIUM FST™ 5W30;  1L","EDGE TITANIUM FST™ 5W30;  1L","","<p><strong>Ulei de motor CASTROL EDGE TITANIUM FST&trade; 5W30; recipient&nbsp;1L</strong></p>

<p>Castrol<strong>&nbsp;EDGE&nbsp;</strong>este cel mai puternic&nbsp;şi mai avansat&nbsp;de ulei&nbsp;de motor. Tehnologia sa&nbsp;<strong>TITANIUM FST&trade;</strong>&nbsp;<strong>dublează rezistenta peliculei de ulei</strong>, &icirc;mpiedic&acirc;nd ruperea acesteia si,&nbsp;<strong>reduce la maxim frecarea</strong>.</p>

<p>Castrol<strong>&nbsp;EDGE cu TITANIUM FST&trade;&nbsp;</strong>ajută motorul să funcţioneze la&nbsp;<strong>performante maxime.</strong></p>

<p><strong>Proprietati</strong></p>

<p>-Mareste la maxim performanţa motorului pe termen scurt şi lung</p>

<p>-Reduce depunerile de pe motor, contribuind astfel la marirea performanţei motorului</p>

<p>-Permite niveluri de protecţie neatinse p&acirc;nă acum, &icirc;ntr-o diversitate de condiţii şi temperaturi de conducere</p>

<p>-Dovedit ca mărind de unul singur eficienţa motorului</p>

<p>-Furnizează şi menţine o putere efectivă maximă pe o perioadă mai lungă, chiar şi atunci c&acirc;nd este sub presiune</p>

<p><strong>Aprobari</strong></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"">
	<tbody>
		<tr>
			<td>
			<p>ACEA C3</p>

			<p>MB-Approval 229.31/ 229.51</p>

			<p>Porsche C30</p>

			<p>VW 504 00/ 507.00</p>
			</td>
		</tr>
	</tbody>
</table>

<p><strong>Caracteristici tehnice</strong></p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"">
	<tbody>
		<tr>
			<td>Clasa de vascozitate</td>
			<td>5W-30</td>
		</tr>
		<tr>
			<td>Vascozitate la 40 &deg;C</td>
			<td>66 mm&sup2;/s&nbsp;ASTM D445&nbsp;&nbsp;</td>
		</tr>
		<tr>
			<td>Vascozitate la 100 &deg;C</td>
			<td>11.6 mm&sup2;/s&nbsp;ASTM D445</td>
		</tr>
		<tr>
			<td>Indice de vascozitate</td>
			<td>173&nbsp;ASTM D2270</td>
		</tr>
		<tr>
			<td>Punct de congelare</td>
			<td>-39&nbsp;&deg;C ASTM D97</td>
		</tr>
		<tr>
			<td>Punct de inflamabilitate</td>
			<td>196&nbsp;&deg;C ASTM D93</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","Ulei de motor CASTROL EDGE TITANIUM FST™ 5W30; recipient 1L","yes","no","in_supplier_stock","13/3/2017 19:12:09","16/12/2024 13:45:35","",""
"3493695",,"0","39","active","ro","D795","Placute frana","placute-frana-bendix-d795","Placute frana","Placute frana","Placute frana","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Parte montare</th>
			<td>&nbsp;spate</td>
		</tr>
		<tr>
			<th scope=""row"">Latime [mm]</th>
			<td>&nbsp;124</td>
		</tr>
		<tr>
			<th scope=""row"">Inaltime [mm]</th>
			<td>&nbsp;54</td>
		</tr>
		<tr>
			<th scope=""row"">Grosime [mm]</th>
			<td>&nbsp;18</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","","no","no","in_stock","10/11/2016 15:15:53","15/11/2016 14:08:02","newOEM",""
"3493696",,"0","39","active","ro","D603","Placute frana","placute-frana-bendix-d603","Placute frana","Placute frana","Placute frana","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Parte montare</th>
			<td>&nbsp;spate</td>
		</tr>
		<tr>
			<th scope=""row"">Latime [mm]</th>
			<td>&nbsp;70</td>
		</tr>
		<tr>
			<th scope=""row"">Inaltime [mm]</th>
			<td>&nbsp;62</td>
		</tr>
		<tr>
			<th scope=""row"">Grosime [mm]</th>
			<td>&nbsp;16</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>
","","no","no","in_stock","10/11/2016 15:16:08","15/11/2016 14:08:16","newOEM",""
"3493589",,"0","311","active","ro","XA3020","Filtru aer ","filtru-aer-uniflux-filters-xa3020","Filtru aer ","Filtru aer ","Filtru aer ","<table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width:500px"">
	<tbody>
		<tr>
			<th scope=""row"">Diametru exterior</th>
			<td>&nbsp;148 mm</td>
		</tr>
		<tr>
			<th scope=""row"">Diametru interior</th>
			<td>&nbsp;&nbsp; 90 mm</td>
		</tr>
		<tr>
			<th scope=""row"">Inaltime</th>
			<td>&nbsp; 220 mm</td>
		</tr>
	</tbody>
</table>

<p>Filtru aer</p>
","","no","no","in_stock","28/10/2016 16:32:54","28/10/2016 16:40:53","newOEM",""
